start_lr,seed,epoch,epoch_lr,train_loss,test_loss,test_correct,test_accuracy,epoch_time_sec
0.001,0,1,,1.4958841788927715,0.5437377227783203,8657,86.57,35.116358280181885
0.001,0,2,,0.43034344482421877,0.34393728942871094,9026,90.26,21.886203050613403
0.001,0,3,,0.33677763690153756,0.2974698654174805,9157,91.57,21.723912477493286
0.001,0,4,,0.29911290911833444,0.26823170623779297,9227,92.27,21.77553629875183
0.001,0,5,,0.2718934231877327,0.24858316497802735,9290,92.9,21.911534786224365
0.001,0,6,,0.24917241674264273,0.23160044174194336,9346,93.46,21.885475397109985
0.001,0,7,,0.2297637953042984,0.2145021224975586,9385,93.85,21.890393495559692
0.001,0,8,,0.2125564091205597,0.19701352005004882,9430,94.3,21.830674409866333
0.001,0,9,,0.1977947379986445,0.18536941833496093,9464,94.64,21.836495399475098
0.001,0,10,,0.1843218098282814,0.17408403739929199,9490,94.9,22.11994194984436
0.001,1,1,,1.1392274479230244,0.43003841247558594,8810,88.1,33.103155851364136
0.001,1,2,,0.38319345251719156,0.3242233627319336,9084,90.84,21.694830656051636
0.001,1,3,,0.3214951160510381,0.28830558624267577,9181,91.81,23.2155704498291
0.001,1,4,,0.2882386844396591,0.25817531814575195,9259,92.59,22.15847873687744
0.001,1,5,,0.2606138462702433,0.23365540618896485,9326,93.26,21.63587999343872
0.001,1,6,,0.236186578698953,0.22395821685791015,9344,93.44,21.81162738800049
0.001,1,7,,0.21610262749989828,0.1966470245361328,9434,94.34,21.88635015487671
0.001,1,8,,0.19853327916463215,0.19108078231811523,9444,94.44,21.68832039833069
0.001,1,9,,0.18325732791026433,0.16839534606933593,9502,95.02,21.81864070892334
0.001,1,10,,0.1705695379793644,0.15716268081665039,9535,95.35,21.55301284790039
0.001,2,1,,1.557186085764567,0.5618420013427734,8667,86.67,34.3347430229187
0.001,2,2,,0.4302997102101644,0.34297493438720705,9026,90.26,21.61050009727478
0.001,2,3,,0.33475154043038685,0.2982931396484375,9155,91.55,21.692692518234253
0.001,2,4,,0.29812040865421296,0.27094487228393555,9224,92.24,21.682905912399292
0.001,2,5,,0.27143575104872386,0.24919313735961915,9277,92.77,22.0989408493042
0.001,2,6,,0.2493157789071401,0.22726282653808594,9341,93.41,21.759077548980713
0.001,2,7,,0.2297837368766467,0.2114142837524414,9375,93.75,21.66987109184265
0.001,2,8,,0.2131149407029152,0.19545172271728517,9432,94.32,21.704276084899902
0.001,2,9,,0.19862494071920714,0.18569511642456055,9454,94.54,21.71821928024292
0.001,2,10,,0.18513668700853983,0.17311324005126952,9487,94.87,21.699735403060913
0.001,3,1,,1.4824770770549773,0.5223955383300781,8704,87.04,33.15166163444519
0.001,3,2,,0.4167194142262141,0.3336883819580078,9063,90.63,21.603864908218384
0.001,3,3,,0.3289922820091248,0.294766357421875,9158,91.58,21.944998025894165
0.001,3,4,,0.29251456606388093,0.2635182670593262,9247,92.47,21.741154193878174
0.001,3,5,,0.2655813646316528,0.24078175201416016,9311,93.11,21.643336534500122
0.001,3,6,,0.24267249835729598,0.2214356315612793,9359,93.59,21.70559811592102
0.001,3,7,,0.22348089059988657,0.2042443862915039,9410,94.1,21.665642499923706
0.001,3,8,,0.20559830952485403,0.18872313385009765,9467,94.67,21.676507711410522
0.001,3,9,,0.18987233297030132,0.17943479385375977,9481,94.81,21.72923445701599
0.001,3,10,,0.1760362980922063,0.1619345039367676,9539,95.39,21.685401439666748
